VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2/25/2016 17:24,2/25/2016 17:27,2,0.7,-73.94725037,40.76377106,1,N,-73.99201202,40.73538971,2,5,0,0.5,0,0,0.3,5.8
2,2/25/2016 23:10,2/25/2016 23:31,2,5.52,-73.98301697,40.75099182,1,N,-73.98858643,40.75883865,2,20,0.5,0.5,0,0,0.3,21.3
2,2/1/2016 0:00,2/1/2016 0:10,6,1.99,-73.99234009,40.7582016,1,N,-73.96435547,40.75797653,1,9.5,0.5,0.5,0.7,0,0.3,11.5
1,2/1/2016 0:00,2/1/2016 0:05,1,1.5,-73.98145294,40.74972153,1,N,-73.98232269,40.76398468,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2/1/2016 0:00,2/1/2016 0:20,1,5.6,-74.00060272,40.7297554,1,N,-73.95132446,40.66983414,1,20,0.5,0.5,4,0,0.3,25.3
2,2/1/2016 0:00,2/1/2016 0:15,1,4.69,-74.00510406,40.71900558,1,N,-73.94709015,40.68888474,2,16,0.5,0.5,0,0,0.3,17.3
2,2/1/2016 0:00,2/1/2016 0:05,1,1.45,-73.98600006,40.762146,1,N,-73.99060822,40.74620819,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,2/1/2016 0:00,2/1/2016 0:06,1,1.1,-73.96633148,40.77342224,1,N,-73.95610809,40.78142166,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2/1/2016 0:00,2/1/2016 0:06,1,1.96,-73.97655487,40.76569748,1,N,-73.97897339,40.74438095,1,7.5,0.5,0.5,1,0,0.3,9.8
2,2/1/2016 0:00,2/1/2016 0:16,2,4.5,-73.97658539,40.76493073,1,N,-73.91111755,40.76890945,2,16,0.5,0.5,0,0,0.3,17.3
2,2/1/2016 0:00,2/1/2016 0:07,1,2.35,-73.98602295,40.76156998,1,N,-73.95968628,40.77524948,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2/1/2016 0:00,2/1/2016 0:17,1,4.63,-73.998909,40.73231125,1,N,-73.95070648,40.7714119,1,16,0.5,0.5,0,0,0.3,17.3
